Id,UID,Type,IdPlan,TurnOn,Hacked,Traffic
34281,00122947-9a16-405d-a8b7-78a287b92dc0,P,7,True,True,1197758.9161984343
243632,00547a87-d039-4780-a15f-78e34acaeef8,J,11,True,True,2631815.5233868216
25314,00582dec-5394-4066-8197-da98a898dbae,P,0,True,True,540066.8313120176
11656,0081aca2-423b-496e-a144-bff834e90f64,P,6,True,True,365728.3543856442
16415,00d238a8-2062-4031-a680-1e26e10ef59d,P,3,True,True,545525.704008222
22321,00f09f6b-4b80-42bc-8699-a26a98c1bc55,P,6,True,True,891263.9924954901
17623,00f2036c-9327-4bc8-92a9-f441aa769154,P,4,True,True,1246467.0275909402
2938,010dacfd-adef-4f42-8972-8070ed2413d8,P,6,True,True,533858.6127979924
7462,01322c64-3e13-44a6-b4d8-d74954c5f0e7,P,2,True,True,655856.6976807765
11997,01478e1c-5d0e-45d6-98f3-c0c6886787c2,P,0,True,True,131391.13395297978
8439,014a9e8a-2926-421d-997f-858a6566220d,P,7,True,True,26690.633957391867
26567,0176fb4c-8416-471a-9a72-554ef4a25e00,P,6,True,True,6348.639817495832
15517,019da413-3624-4410-aab5-a8f8b00badc1,P,2,True,True,638952.1827577722
10593,01ac3c50-1ae6-453b-9520-b149e8e40697,J,12,False,True,6423424.206355415
14616,01bf42b6-465d-434c-876e-a1e5be0bd6d2,J,11,True,True,7919846.59831893
18023,01c93c31-5b4d-4ec2-8e7d-eb5dbd582363,P,5,True,True,689233.933248135
9190,01fce360-f9fa-490b-8697-e58921956b69,P,1,True,True,1011173.0648279416
19762,02031e12-b048-4dcd-984e-b55faeb60d3e,P,6,True,True,623136.5692064649
23826,02040b42-4325-4247-9779-3203ecaff3fa,P,6,True,True,67827.80249653259
33778,02a9105f-ad8b-4ee6-a1c2-c8b6b31800a0,P,1,True,True,301740.4996473315
32153,02f092fd-de64-486d-b4d7-e4be184c592b,P,6,True,True,220144.83348688163
32420,02f986c9-db85-4510-84e9-ebb697bafb69,P,1,True,True,193418.3858643744
26815,02fe772f-304d-488e-8135-f456645fa6c3,P,0,True,True,176420.68188193292
13171,03180708-aae1-43e1-925b-20be3dea501c,P,6,True,True,284133.82732653205
16397,0319c270-ca13-497d-b6a5-b2eea9f11ffd,P,3,True,True,102437.4029437523
12534,032db7f0-4b39-4c5b-8757-cd8a9efce37d,J,10,True,True,11947684.15129936
31757,032fd24c-7e3f-4418-b401-5e60f19c934c,P,1,True,True,122464.41799043062
22346,0343e36d-4047-41e4-b041-acf15be66a36,P,6,True,True,291565.6327647017
38124,0353563e-bc35-4955-9776-e000b27d3094,J,12,True,True,0.0
23870,03dcaa4e-8393-4b22-a415-da45f3638f0e,J,10,True,True,10901039.273916848
12274,03e197ca-950a-43e4-8d88-13b9b47a8c7b,P,2,True,True,1191501.3106684373
8891,03e8315d-7d61-4a9a-839a-07e53c97dbfe,P,6,True,True,130901.2622032542
16700,044083ca-f4d3-46a9-bb7a-5b9aa8f89304,P,2,True,True,639764.026226158
24386,044bf6d4-2fd8-400c-922b-e8628263c14a,P,2,True,True,193042.4347826087
21964,0455e287-991a-42da-a9cc-1d39d7e4e72c,P,3,True,True,124926.72272622611
8095,04917c14-6efb-4096-8c19-b96676a79aae,P,1,True,True,322017.5942840591
20415,0502bf37-e803-4bf8-909b-1be624176d3f,P,1,True,True,553835.4914869467
19646,0505dd5a-99ca-473b-81eb-54072e926448,P,5,True,True,315910.5006015689
23925,0518f90d-adf1-41a2-b95d-35470023170e,P,2,True,True,401106.6978696712
3054,0523d606-bb27-42f7-b7bb-11440541ea02,J,10,True,True,7295830.950235725
10493,0532a179-9caa-4966-ad77-47f75005d37f,P,7,True,True,337596.76334241434
17263,0559010b-3be7-419e-9d27-d2ab9df3f80c,P,6,True,True,70651.15521986065
17045,056cbae3-b78d-4d7f-a6f8-8efa6e6ded56,J,12,True,True,9915845.536947608
177019,0576fef8-9813-4400-8870-42a2644b3633,J,10,True,True,0.0
30727,057d08c0-ba3a-4fa3-ab4a-b66dc94c35ea,P,3,True,True,290364.0009967605
28625,05865a75-8a8c-48fc-92e1-1c99a72fb836,P,3,True,True,94112.10772683551
193247,05afb9d5-74af-4ce1-b516-f2dac6329637,J,11,True,True,5833881.5
221559,05c965d8-5e08-487e-b8d8-73410a318f69,J,12,False,True,0.0
16019,06110e87-40f6-4ecf-b1e2-aceb10a878c3,J,11,True,True,10667389.31010175
23739,066245f7-f24b-45bc-b5a0-47499359c614,P,5,True,True,181050.48334367888
