Timestamp,Номер команды,№,Вопрос,Ответ
3/8/2025 16:43:24,124,1,"Странная формула распределения баллов: она растет параболически на промежутке [0,1], не соответствуя заданным значениям функции в точках 0, 0.8 и 1: правильная ли это формула?","В опубликованной версии ошибка, допущенная при перепечатывании из кода в документацию.
Исправлено здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
Ещё там добавлен график."
3/8/2025 16:44:03,124,2,Как считается процент утилизации на отдельном хосте?,"Под утилизацией ресурса понимается отношение суммарного использования ресурса размещёнными ВМ к полному количеству ресурса.
Под утилизацией хоста понимается наибольшее значение утилизации среди всех видов ресурсов (в этом кейсе их два: количество процессорных ядер и объём оперативной памяти в гигабайтах).
Уточнение добавлено сюда: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS"
3/8/2025 16:46:37,124,3,"""Если хост имел нулевую утилизацию в течение 5 и более раундов подряд И на хосте ранее уже размещались ВМ —
за каждый такой раунд начисляется дополнительно по 8 баллов.""
Применимо ли это правило к ещё не включенным хостам, т.к. аналогично не тратится на них энергия","Как указано в правиле, дополнительное вознаграждение начисляется, если на хосте ранее уже размещались ВМ.
Это означает, что в начале игры пустые хосты не дают дополнительного вознаграждения."
3/8/2025 16:46:38,91,4,"Подскажите пожалуйста:

1) В гитлаб мы должны залить только итоговый докер образ / архив с приложением, или ещё и весь код проекта?

2) Ещё один вопрос: вы точно уверены, что формула в задании указана верно? Мы сейчас на калькуляторе и в питоне пересчитали, значения не совпадают с указанными снизу от формулы. f(0) = 0.13, хотя должно быть 0, и f(1) = 57, хотя должно быть около 3

3) Машина это 2 параметра (RAM, CPU). Как определяет нагрузка машины?(Как вычисляется процент утилизации хоста?) Как среднее между нагрузками по каждому из параметров?

4)  Насколько важна скорость вычислений в этой задаче? Задача будет оцениваться исключительно из баллов, как описано в тексте задания, или еще будет учитываться другие факторы?

5) Также вопрос по входному json: в примере показан пример только с добавлением одной вм (поле ""add""), а какое имя будет у поля в случае удаления одной из вм? ""delete""?

6) А сколько в среднем раундов на одну игру?","1. Мы не успеем вычитать код проекта.
Чтобы исключить предвзятость, оценивается только поведение программы во время исполнения.
Однако, лучшие команды будут допущены до защиты и там продемонстрировать код проекта уместно.
В конечном итоге, это остаётся на ваше усмотрение.
2. В опубликованной версии ошибка, допущенная при перепечатывании из кода в документацию.
Исправлено здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
Ещё там добавлен график.
3. Под утилизацией ресурса понимается отношение суммарного использования ресурса размещёнными ВМ к полному количеству ресурса.
Под утилизацией хоста понимается наибольшее значение утилизации среди всех видов ресурсов (в этом кейсе их два: количество процессорных ядер и объём оперативной памяти в гигабайтах).
Уточнение добавлено сюда: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
4. Ограничения производительности были удалены из задания организаторами.
Восстановлены здесь (см. конец документа): https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
5. ""diff"" во входных данных -- исключительно для визуального контроля, поэтому детально не разбирался.
Схемы JSON восстановлены здесь (были удалены организаторами): https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
Генератор входных данных и проверяющая система действительно проделывают валидацию по этим схемам.
6. Количество раундов не определено и зависит скорее от доступного времени на проверку.
Ограничение по оперативной памяти от количества раундов не зависит, ограничение по процессорному времени пропорционально количеству раундов."
3/8/2025 16:47:40,124,5,"Возможно ли до окончания хакатона узнать, сколько баллов набрал алгоритм?",Нет.
3/8/2025 16:49:35,67,6,Сколько в среднем раундов на одну игру?,"Количество раундов не определено и зависит скорее от доступного времени на проверку.
Ограничение по оперативной памяти от количества раундов не зависит, ограничение по процессорному времени пропорционально количеству раундов."
3/8/2025 16:51:45,67,7,"Все миграции и добавление/удаление новой вм происходят одновременно?

Например, возможно за один ход снять нагрузку с хоста миграцией вм и добавить на этот хост новую вм, которая без миграции давала бы нагрузку >100%?

Или, например, обменять две вм между хостами, даже если эти вм при нахождении на любом из хостов в отдельности дали бы нагрузку >100%?","Да. Идея такая. Поступает запрос на размещение ВМ -- возможно надо что-то куда-то переместить, чтобы новая ВМ уместилась.
Также возможны стратегические миграции, когда перемещение делается для улучшения результатов в будущем.
Если в раунде ВМ удаляется, то получается, что все миграции на таком раунде -- стратегические."
3/8/2025 16:52:32,67,8,"Значения по формуле в гитлабе не соответствуют указанным примерам значений в точках 0, 0.8..., 1","В опубликованной версии ошибка, допущенная при перепечатывании из кода в документацию.
Исправлено здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
Ещё там добавлен график."
3/8/2025 16:53:57,67,9,"В формуле награды от утилизации f(x) участвует x, где x -- число от 0 до 1. Как x выражается через долю утилизации CPU и долю утилизации RAM?","Под утилизацией ресурса понимается отношение суммарного использования ресурса размещёнными ВМ к полному количеству ресурса.
Под утилизацией хоста понимается наибольшее значение утилизации среди всех видов ресурсов (в этом кейсе их два: количество процессорных ядер и объём оперативной памяти в гигабайтах).
Уточнение добавлено сюда: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS"
3/8/2025 16:55:55,67,10,"Можно ли предполагать, что в большинстве случаев размеры хостов адекватные? Иначе, при сравнении очень больших и очень маленьких хостов, выдача награды на базе процента утилизации хоста теряет физический смысл","Хосты и ВМ реалистичные с одним уточнением.
В реальном мире во многих облаках размеры ВМ (инстансов) выбираются из конечного набора.
Но так бывает не всегда. Этот кейс из такой категории, поэтому тут может быть, например, { ""cpu"": 7, ""ram"": 19 }"
